Wall time,Step,Value
1713860040.025238,1856166,9.949579238891602
1713860040.025536,1856169,9.872262001037598
1713860040.025848,1856178,6.403158187866211
1713860040.026127,1856184,9.99683952331543
1713860040.026432,1856199,9.80945873260498
1713860040.026748,1856205,10.0
1713860040.027045,1856235,8.418858528137207
1713860040.027338,1856241,10.0
1713860040.027621,1856247,7.114370822906494
1713860040.027942,1856250,9.714433670043945
1713860040.028223,1856283,9.760356903076172
1713860040.028513,1856289,9.652266502380371
1713860040.028807,1856295,10.0
1713860040.029117,1856301,9.680736541748047
1713860040.029398,1856301,10.0
1713860040.029689,1856310,9.978720664978027
1713860040.03001,1856322,9.802387237548828
1713860040.030295,1856337,9.782590866088867
1713860040.030576,1856355,-4.957493782043457
1713860040.030858,1856379,9.888994216918945
1713860040.031187,1856394,9.655699729919434
1713860040.031485,1856400,9.993505477905273
1713860040.031778,1856403,9.893932342529297
1713860040.032059,1856424,9.905207633972168
1713860040.032386,1856433,-3.3409109115600586
1713860040.03267,1856445,7.567061901092529
1713860040.032956,1856451,9.934558868408203
1713860040.033247,1856475,9.536423683166504
1713860040.033562,1856496,9.724246978759766
1713860040.033846,1856499,9.678988456726074
1713860040.034132,1856526,9.827540397644043
1713860040.034455,1856532,8.701510429382324
1713860040.034739,1856559,9.615069389343262
1713860040.035014,1856559,9.829474449157715
1713860040.035303,1856565,10.0
1713860040.035609,1856571,9.803887367248535
1713860040.035892,1856595,8.509803771972656
1713860040.036171,1856613,9.931897163391113
1713860040.036455,1856616,9.632037162780762
1713860040.036789,1856619,9.71685791015625
1713860040.037068,1856655,9.649068832397461
1713860040.037344,1856676,-2.334761381149292
1713860040.037646,1856682,9.527717590332031
1713860040.037983,1856682,9.859237670898438
1713860040.038261,1856691,9.976493835449219
1713860040.038538,1856709,9.891081809997559
1713860040.038867,1856715,-6.610911846160889
1713860040.039153,1856727,7.439682483673096
1713860040.039442,1856730,9.916481018066406
1713860040.039741,1856757,9.738494873046875
1713860040.040063,1856766,9.79699420928955
1713860040.040355,1856778,9.661145210266113
1713860040.040646,1856784,10.0
1713860040.040938,1856790,9.842338562011719
1713860040.041244,1856823,9.825976371765137
1713860040.041545,1856823,9.762495040893555
1713860040.041844,1856844,-2.527756452560425
